codigo_partido	nombre	coalicion	partidos_coalicion	tradicional	temporalidad	gradonac	ideologia	paso_ideologia	justificacion_ideologia	grupo_representativo_1	paso1_gr	justificacion_gr_1	grupo_representativo_2	paso2_gr	justificacion_gr_2	part_alcaldia	part_asamblea	part_camara	part_concejo	part_gobernacion	part_presidencia	part_presidencia_1v	part_presidencia_2v	part_senado	fuente_ideologia	fuente_gr
20190594	"COALICION ALCALDIA DE PUEBLO BELLO-CES.PARTIDO COLOMBIA JUSTA LIBRES Y PARTIDO CENTRO DEMOCRATICO - ""SEGURIDAD , EQUIDAD, IGUALDAD Y COMPETITIVIDAD COMPROMISO DE TODOS"""	1	"[20170001,20130001]"	0	"2019-2019"	1	3		""	98		""	98		""	1	0	0	0	0	0	0	0	0	""	""
20190595	"COALICION ALCALDIA DE PUEBLO BELLO-CES.ALIANZA SOCIAL INDEPENDIENTE - MOVIMIENTO MAIS Y PARTIDO ALIANZA VERDE - ""POR AMOR A PUEBLO BELLO"""	1	"[19910006,20130002,20090002]"	0	"2019-2019"	0	1	6	"Las coaliciones se asignan de izquierda si al menos más de la mitad de los partidos que hacen parte de la coalición han sido catalogados como de izquierda. En el caso en que la coalición consista de exactamente dos partidos, se deberá contar con el 100%"	2	6	"Cuando más del 50% de los partidos de la coalición sean de la misma categoría, entonces la coalición heredará esta clasificación. En el caso en que la coalición consista de exactamente dos partidos, se deberá contar con el 100%"	98		""	1	0	0	0	0	0	0	0	0	""	""
20190596	"COALICION ALCALDIA DE PUEBLO BELLOCES-PARTIDO COLOMBIA HUMANA Y UNION PATRIOTICA Y PARTIDO FARC - ""PUEBLO BELLO HUMANO"""	1	"[20190033,20190033,20170003]"	0	"2019-2019"	0	1	6	"Las coaliciones se asignan de izquierda si al menos más de la mitad de los partidos que hacen parte de la coalición han sido catalogados como de izquierda. En el caso en que la coalición consista de exactamente dos partidos, se deberá contar con el 100%"	4	6	"Cuando más del 50% de los partidos de la coalición sean de la misma categoría, entonces la coalición heredará esta clasificación. En el caso en que la coalición consista de exactamente dos partidos, se deberá contar con el 100%"	98		""	1	0	0	0	0	0	0	0	0	""	""
20190597	"COALICION ALCALDIA DE SAN ALBERTO-CES.PARTIDO DE LA U - PARTIDO CAMBIO RADICAL - MOVIMIENTO MAIS Y ALIANZA SOCIAL INDEPENDIENTE - ""ALIANZA POR TI SAN ALBERTO"""	1	"[20050002,20030001,20130002,19910006]"	0	"2019-2019"	1	1	6	"Las coaliciones se asignan de izquierda si al menos más de la mitad de los partidos que hacen parte de la coalición han sido catalogados como de izquierda. En el caso en que la coalición consista de exactamente dos partidos, se deberá contar con el 100%"	98		""	98		""	1	0	0	0	0	0	0	0	0	""	""
20190598	"COALICION ALCALDIA DE SAN DIEGO-CES.PARTIDO CAMBIO RADICAL Y ALIANZA DEMOCRATICA AFROCOLOMBIANA ADA - ""SAN DIEGO TERRITORIO DE LO POSIBLE"""	1	"[20030001,20180047]"	0	"2019-2019"	1	3		""	98		""	98		""	1	0	0	0	0	0	0	0	0	""	""
20190599	"COALICION ALCALDIA DE SAN DIEGO-CES.PARTIDO ALIANZA SOCIAL INDEPENDIENTE YPARTIDO DE LA U - ""POR TI SAN DIEGO"""	1	"[19910006,20050002]"	0	"2019-2019"	1	3		""	98		""	98		""	1	0	0	0	0	0	0	0	0	""	""
20190600	"COALICION ALCALDIA DE SAN MARTIN-CES.PARTIDO DE LA U Y PARTIDO CONSERVADOR - ""ALCALDIA DE SAN MARTIN"""	1	"[20050002,18490002]"	0	"2019-2019"	1	2	7	"Las coaliciones se asignan de derecha si al menos más de la mitad de los partidos que hacen parte de la coalición han sido catalogados como de derecha. En el caso en que la coalición consista de exactamente dos partidos, se deberá contar con el 100%"	99		""	98		""	1	0	0	0	0	0	0	0	0	""	""
20190601	"COALICION ALCALDIA DE SAN MARTIN-CES.PARTIDO LIBERAL Y PARTIDO CAMBIO RADICAL - ""SAN MARTIN MERECE MAS"""	1	"[18480001,20030001]"	0	"2019-2019"	1	3	8	"Las coaliciones que tengan más de la mitad de partidos clasificados como ni de izquierda ni derecha tendrán esta misma denominación. En el caso en que la coalición consista de exactamente dos partidos, se deberá contar con el 100%"	99		""	98		""	1	0	0	0	0	0	0	0	0	""	""
20190602	"COALICION ALCALDIA DE TAMALAMEQUE-CES.PARTIDO DE LA - PARTIDO LIBERAL - PARTIDO CONSERVADOR Y MOVIMIENTO MAIS - ""TAMALAMEQUE AVANZA"""	1	"[20050002,18480001,18490002,20130002]"	0	"2019-2019"	1	2	7	"Las coaliciones se asignan de derecha si al menos más de la mitad de los partidos que hacen parte de la coalición han sido catalogados como de derecha. En el caso en que la coalición consista de exactamente dos partidos, se deberá contar con el 100%"	99		""	98		""	1	0	0	0	0	0	0	0	0	""	""
20190603	"COALICION ALCALDIA DE TAMALAMEQUE-CES.PARTIDO CAMBIO RADICAL Y ALIANZA DEMOCRATICA AFROCOLOMBIANA ADA - ""TRABAJEMOS JUNTOS"""	1	"[20030001,20180047]"	0	"2019-2019"	1	3		""	98		""	98		""	1	0	0	0	0	0	0	0	0	""	""
20190604	"COALICION ALCALDIA DE CANALETE-CORD.PARTIDO LIBERAL Y PARTIDO CONSERVADOR - ""POR LA SENDA DEL PROGRESO"""	1	"[18480001,18490002]"	1	"2019-2019"	1	3		""	99		""	98		""	1	0	0	0	0	0	0	0	0	""	""
20190605	"COALICION ALCALDIA DE CERETE-CORD.PARTIDO CENTRO DEMOCRATICO - PARTIDO CAMBIO RADICAL Y PARTIDO DE LA U - ""EL PACTO ES DE TODOS"""	1	"[20130001,20030001,20050002]"	0	"2019-2019"	1	2	7	"Las coaliciones se asignan de derecha si al menos más de la mitad de los partidos que hacen parte de la coalición han sido catalogados como de derecha. En el caso en que la coalición consista de exactamente dos partidos, se deberá contar con el 100%"	99		""	98		""	1	0	0	0	0	0	0	0	0	""	""
20190606	"COALICION ALCALDIA DE COTORRA-CORD.PARTIDO CAMBIO RADICAL Y PARTIDO CONSERVADOR - ""UNIDOS POR COTORRA"""	1	"[20030001,18490002]"	0	"2019-2019"	1	3		""	99		""	98		""	1	0	0	0	0	0	0	0	0	""	""
20190607	"COALICION ALCALDIA DE LA APARTADA-CORD.PARTIDO CAMBIO RADICAL - PARTIDO CENTRO DEMOCRATICO Y PARTIDO DE LA U - ""PARA SEGUIR AVANZANDO"""	1	"[20030001,20130001,20050002]"	0	"2019-2019"	1	2	7	"Las coaliciones se asignan de derecha si al menos más de la mitad de los partidos que hacen parte de la coalición han sido catalogados como de derecha. En el caso en que la coalición consista de exactamente dos partidos, se deberá contar con el 100%"	99		""	98		""	1	0	0	0	0	0	0	0	0	""	""
20190608	"COALICION ALCALDIA DE MOMIL-CORD.PARTIDO DE LA U Y PARTIDO CAMBIO RADICAL - ""YO AMO A MOMIL"""	1	"[20050002,20030001]"	0	"2019-2019"	1	3		""	99		""	98		""	1	0	0	0	0	0	0	0	0	""	""
20190609	"COALICION ALCDALDIA DE PUEBLO NUEVO-CORD.PARTIDO CAMBIO RADICAL - PARTIDO DE LA U Y PARTIDO CONSERVADOR - ""TODOS POR PUEBLO NUEVO"""	1	"[20030001,20050002,18490002]"	0	"2019-2019"	1	2	7	"Las coaliciones se asignan de derecha si al menos más de la mitad de los partidos que hacen parte de la coalición han sido catalogados como de derecha. En el caso en que la coalición consista de exactamente dos partidos, se deberá contar con el 100%"	99		""	98		""	1	0	0	0	0	0	0	0	0	""	""
20190610	"COALICION ALCALDIA DE PUERTO LIBERTADOR-CORD.PARTIDO AICO Y PARTIDO COLOMBIA RENACIENTE - ""DE PAZ, CON PUERTO LIBERTADOR"""	1	"[19910001,20180046]"	0	"2019-2019"	0	3		""	98		""	98		""	1	0	0	0	0	0	0	0	0	""	""
20190611	"COALICION ALCALDIA DE SAHAGUN-CORD.PARTIDO DE LA U Y PARTIDO CAMBIO RADICAL - ""MI COMPROMISO ES CON SAHAGUN"""	1	"[20050002,20030001]"	0	"2019-2019"	1	3		""	99		""	98		""	1	0	0	0	0	0	0	0	0	""	""
20190612	"COALICION ALCALDIA DE SAN BERNARDO DEL VIENTO-CORD.PARTIDO CAMBIO RADICAL Y PARTIDO CONSERVADOR - ""UNIDOS POR SAN BERNARDO DEL VIENTO"""	1	"[20030001,18490002]"	0	"2019-2019"	1	3		""	99		""	98		""	1	0	0	0	0	0	0	0	0	""	""
20190613	"COALICION ALCALDIA DE SAN BERNARDO DEL VIENTO-CORD.PARTIDO DE LA U Y PARTIDO CENTRO DEMOCRATICO - ""CON DIOS SOMO MAS QUE VENCEDORES"""	1	"[20050002,20130001]"	0	"2019-2019"	1	2	7	"Las coaliciones se asignan de derecha si al menos más de la mitad de los partidos que hacen parte de la coalición han sido catalogados como de derecha. En el caso en que la coalición consista de exactamente dos partidos, se deberá contar con el 100%"	99		""	98		""	1	0	0	0	0	0	0	0	0	""	""
20190614	"COALICION ALCALDIA DE SAN CARLOS-CORD.PARTIDO DE LA U Y PARTIDO CAMBIO RADICAL - ""OPORTUNIDAD PARA TODOS"""	1	"[20050002,20030001]"	0	"2019-2019"	1	3		""	99		""	98		""	1	0	0	0	0	0	0	0	0	""	""
20190615	"COALICION ALCALDIA DE TIERRALTA-CORD.PARTIDO COLOMBIA RENACIENTE - PARTIDO CAMBIO RADICAL Y PARTIDO LIBERAL - ""TIERRALTA SI SE PUEDE"""	1	"[20180046,20030001,18480001]"	0	"2019-2019"	1	3	8	"Las coaliciones que tengan más de la mitad de partidos clasificados como ni de izquierda ni derecha tendrán esta misma denominación. En el caso en que la coalición consista de exactamente dos partidos, se deberá contar con el 100%"	99		""	98		""	1	0	0	0	0	0	0	0	0	""	""
20190616	"COALICION ALCALDIA DE AGUA DE DIOS-CUND.ALIANZA SOCIAL INDEPENDIENTE - MOVIMIENTO MAIS Y PARTIDO ALIANZA VERDE - ""AGUA DE DIOS CON DESARROLLO UN SUEÑO POSIBLE"""	1	"[19910006,20130002,20090002]"	0	"2019-2019"	0	1	6	"Las coaliciones se asignan de izquierda si al menos más de la mitad de los partidos que hacen parte de la coalición han sido catalogados como de izquierda. En el caso en que la coalición consista de exactamente dos partidos, se deberá contar con el 100%"	2	6	"Cuando más del 50% de los partidos de la coalición sean de la misma categoría, entonces la coalición heredará esta clasificación. En el caso en que la coalición consista de exactamente dos partidos, se deberá contar con el 100%"	98		""	1	0	0	0	0	0	0	0	0	""	""
20190617	"COALICION ALCALDIA DE AGUA DE DIOS-CUND.PARTIDO LIBERAL - PARTIDO COLOMBIA RENACIENTE Y PARTIDO COLOMBIA JUSTA LIBRES - ""GRAN ALIANZA POR AGUA DE DIOS CON OPORTUNIDADES PARA TODOS"""	1	"[18480001,20180046,20170001]"	0	"2019-2019"	0	3	8	"Las coaliciones que tengan más de la mitad de partidos clasificados como ni de izquierda ni derecha tendrán esta misma denominación. En el caso en que la coalición consista de exactamente dos partidos, se deberá contar con el 100%"	98		""	98		""	1	0	0	0	0	0	0	0	0	""	""
20190618	"COALICION ALCALDIA DE AGUA DE DIOS-CUND.PARTIDO CENTRO DEMOCRATICO Y PARTIDO CONSERVADOR - ""UNIDOS POR AGUA DE DIOS"""	1	"[20130001,18490002]"	0	"2019-2019"	1	2	7	"Las coaliciones se asignan de derecha si al menos más de la mitad de los partidos que hacen parte de la coalición han sido catalogados como de derecha. En el caso en que la coalición consista de exactamente dos partidos, se deberá contar con el 100%"	99		""	98		""	1	0	0	0	0	0	0	0	0	""	""
20190619	"COALICION ALCALDIA DE ANOLAIMA-CUND.PARTIDO CAMBIO RADICAL - PARTIDO CONSERVADOR Y PARTIDO COLOMBIA RENACIENTE - ""ANOLAIMA MEJOR AHORA"""	1	"[20030001,18490002,20180046]"	0	"2019-2019"	1	3	8	"Las coaliciones que tengan más de la mitad de partidos clasificados como ni de izquierda ni derecha tendrán esta misma denominación. En el caso en que la coalición consista de exactamente dos partidos, se deberá contar con el 100%"	99		""	98		""	1	0	0	0	0	0	0	0	0	""	""
20190620	"COALICION ALCALDIA DE ANOLAIMA-CUND.PARTIDO LIBERAL Y PARTIDO AICO - ""CON AMOR POR ANOLAIMA"""	1	"[18480001,19910001]"	0	"2019-2019"	1	3		""	98		""	98		""	1	0	0	0	0	0	0	0	0	""	""
20190621	"COALICION ALCALDIA DE ARBELAEZ-CUND.PARTIDO CAMBIO RADICAL Y ALIANZA SOCIAL INDEPENDIENTE - ""LA NUEVA HISTORIA"""	1	"[20030001,19910006]"	0	"2019-2019"	1	3		""	98		""	98		""	1	0	0	0	0	0	0	0	0	""	""
20190622	"COALICION ALCALDIA DE BELTRAN-CUND.PARTIDO CAMBIO RADICAL - PARTIDO LIBERAL Y PARTIDO CONSERVADOR - ""PARA SEGUIR AVANZANDO"""	1	"[20030001,18480001,18490002]"	1	"2019-2019"	1	3	8	"Las coaliciones que tengan más de la mitad de partidos clasificados como ni de izquierda ni derecha tendrán esta misma denominación. En el caso en que la coalición consista de exactamente dos partidos, se deberá contar con el 100%"	99		""	98		""	1	0	0	0	0	0	0	0	0	""	""
20190623	"COALICION ALCALDIA DE BOJACA-CUND.PARTIDO LIBERAL - PARTIDO CAMBIO RADICAL - PARTIDO CONSERVADOR Y PARTIDO DE LA U - ""EN BOJACA SEGUIMOS CREYENDO"""	1	"[18480001,20030001,18490002,20050002]"	0	"2019-2019"	1	3		""	99		""	98		""	1	0	0	0	0	0	0	0	0	""	""
20190624	"COALICION ALCALDIA DE CABRERA-CUND.PARTIDO LIBERAL - PARTIDO CONSERVADOR Y MOVIMIENTO MAIS - ""GESTION Y CONOCIMIENTO CON RESULTADOS"""	1	"[18480001,18490002,20130002]"	1	"2019-2019"	1	3		""	99		""	98		""	1	0	0	0	0	0	0	0	0	""	""
20190625	"COALICION ALCALDIA DE CACHIPAY-CUND.PARTIDO CAMBIO RADICAL Y PARTIDO COLOMBIA JUSTA LIBRES - ""TRANSPARENCIA, GESTION COMPROMISO"""	1	"[20030001,20170001]"	0	"2019-2019"	1	3		""	98		""	98		""	1	0	0	0	0	0	0	0	0	""	""
20190626	"COALICION ALCALDIA DE CACHIPAY-CUND.PARTIDO LIBERAL- PARTIDO CENTRO DEMOCRATICO Y PARTIDO AICO - ""TUS IDEAS Y MI EXPERIENCIA HACEN LA DIFERENCIA"""	1	"[18480001,20130001,19910001]"	0	"2019-2019"	1	3		""	99		""	98		""	1	0	0	0	0	0	0	0	0	""	""
20190627	"COALICION ALCALDIA DE CAJICA-CUND.PARTIDO CONSERVADOR - PARTIDO CENTRO DEMOCRATICO - PARTIDO DE LA U Y PARTIDO COLOMBIA JUSTA LIBRES - ""UNIDOS CON TODA SEGURIDAD"""	1	"[18490002,20130001,20050002,20170001]"	0	"2019-2019"	1	2	7	"Las coaliciones se asignan de derecha si al menos más de la mitad de los partidos que hacen parte de la coalición han sido catalogados como de derecha. En el caso en que la coalición consista de exactamente dos partidos, se deberá contar con el 100%"	99		""	98		""	1	0	0	0	0	0	0	0	0	""	""
20190628	"COALICION ALCALDIA DE CAJICA-CUND. ALIANZA SOCIAL INDEPENDIENTE - PARTIDO AICO Y MOVIMIENTO MAIS - ""CAJICA ES EL MOMENTO"""	1	"[19910006,19910001,20130002]"	0	"2019-2019"	0	1	6	"Las coaliciones se asignan de izquierda si al menos más de la mitad de los partidos que hacen parte de la coalición han sido catalogados como de izquierda. En el caso en que la coalición consista de exactamente dos partidos, se deberá contar con el 100%"	2	6	"Cuando más del 50% de los partidos de la coalición sean de la misma categoría, entonces la coalición heredará esta clasificación. En el caso en que la coalición consista de exactamente dos partidos, se deberá contar con el 100%"	98		""	1	0	0	0	0	0	0	0	0	""	""
20190629	"COALICION ALCALDIA DE CAJICA-CUND.PARTIDO CAMBIO RADICAL - PARTIDO LIBERAL Y PARTIDO ALIANZA VERDE - ""CAJICA TRANSPARENTE"""	1	"[20030001,18480001,20090002]"	0	"2019-2019"	1	3	8	"Las coaliciones que tengan más de la mitad de partidos clasificados como ni de izquierda ni derecha tendrán esta misma denominación. En el caso en que la coalición consista de exactamente dos partidos, se deberá contar con el 100%"	99		""	98		""	1	0	0	0	0	0	0	0	0	""	""
20190630	"COALICION ALCALDIA DE CAPARRAPI-CUND.MOVIMIENTO MAIS Y PARTIDO ALIANZA VERDE - ""CAPARRAPI TAREA DE TODOS"""	1	"[20130002,20090002]"	0	"2019-2019"	0	3		""	98		""	98		""	1	0	0	0	0	0	0	0	0	""	""
20190631	"COALICION ALCALDIA DE CAQUETA-CUND.PARTIDO CAMBIO RADICAL - PARTIDO DE LA U - ALIANZA SOCIAL INDEPENDIENTE Y MOVIMIENTO MAIS - ""OPORTUNIDAD PARA TODOS"""	1	"[20030001,20050002,19910006,20130002]"	0	"2019-2019"	1	1	6	"Las coaliciones se asignan de izquierda si al menos más de la mitad de los partidos que hacen parte de la coalición han sido catalogados como de izquierda. En el caso en que la coalición consista de exactamente dos partidos, se deberá contar con el 100%"	98		""	98		""	1	0	0	0	0	0	0	0	0	""	""
20190632	"COALICION ALCALDIA DE CARMEN DE CARUPA-CUND.PARTIDO CAMBIO RADICAL Y PARTIDO DE LA U - ""CONSTRUYENDO SOCIEDAD, GOBIERNO DE RESULTADOS"""	1	"[20030001,20050002]"	0	"2019-2019"	1	3		""	99		""	98		""	1	0	0	0	0	0	0	0	0	""	""
20190633	"COALICION ALCALDIA DE CHAGUANI-CUND.PARTIDO DE LA U - PARTIDO CONSERVADOR Y PARTIDO CAMBIO RADICAL - ""CHAGUANI UN GOBIERNO CON VISION AL CAMPO"""	1	"[20050002,18490002,20030001]"	0	"2019-2019"	1	2	7	"Las coaliciones se asignan de derecha si al menos más de la mitad de los partidos que hacen parte de la coalición han sido catalogados como de derecha. En el caso en que la coalición consista de exactamente dos partidos, se deberá contar con el 100%"	99		""	98		""	1	0	0	0	0	0	0	0	0	""	""
20190634	"G.S.C  CHAGUANI ES NUESTRO COMPROMISO"	0	""	0	"2019-2019"	0	4		""	99		""	99		""	1	0	0	0	0	0	0	0	0	""	""
20190635	"COALICION ALCALDIA DE CHIA-CUND.PARTIDO CAMBIO RADICAL Y PARTIDO DE LA U - ""FIRMES Y AVANZANDO"""	1	"[20030001,20050002]"	0	"2019-2019"	1	3		""	99		""	98		""	1	0	0	0	0	0	0	0	0	""	""
