"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30"
"grupo_representativo_25",-0.0415572094135918,0.119036126387691,-0.249954721350429,-0.191276749277806,0.126184594473317,0.0137618937419907,-0.143952457503612,-0.0844368518762316,-0.134646711911753,-0.131775765312582,-0.655523867250015,-0.0434014614586616,0.113782235499257,-0.00277540183808688,0.00639038289210474,-0.0247572999805333,0.0461241964332823,0.0718565420615264,0.307341131264957,0.127622023572678,0.399432037200647,-0.122212002086554,0.00175911440657907,-0.236829650298528,-0.00332043232815533,0.0234687950523269,0.0306351120340316,-0.00278875660342306,0.101211674204511,0.00399635220049394
"grupo_representativo_26",-0.0252662671619824,0.0740136431685273,-0.149814627984175,-0.110264958527302,0.0744383345643306,0.00544089198590534,-0.0566255986328069,-0.048432803147101,-0.0257379071277779,-0.00229952876705955,0.42219491297202,0.779767945928386,-0.057342328473009,-0.124830398332697,0.0569969585391495,-0.00448637611770327,0.0385697886516045,0.06573875252672,0.196477146090519,0.0864146321485877,0.253258866004639,-0.0644031221439989,0.00147172692690005,-0.118361092133675,-0.00939720529984609,0.010689642394536,0.0131100806064705,-0.00825620886680252,0.0663589881383499,0.00621655109757884
"grupo_representativo_298",0.426937711903239,0.120080682567897,0.0598498856882789,0.0223925297752359,0.0257101246557255,-0.0934663488175255,-0.0725512832441952,-0.0230459574151744,-0.0338420509807337,0.00623291686269238,-0.00283698794886876,-0.000188804907073534,0.0058134628719557,-0.00546429924965778,0.0327808026296654,-0.0362455890626524,0.0612765399945594,-0.0291470322769095,0.0562269895496254,-0.0454438839351811,-0.0914262984833345,-0.055409851744712,-0.0163519593355634,0.0679788743239795,0.233201014720488,-0.0673929504605679,-0.172557709970789,0.0320312318040887,0.390171724689716,0.715734752623221
"grupo_representativo_299",-0.414545689228061,-0.163640745121635,0.0218786702478312,0.0376576734283383,-0.0595051753130914,0.097471397230169,0.098363105792775,0.04602333033969,0.0796850017742354,0.0127454878891875,-0.00753049654972065,-0.00248820472451466,-0.00473789147598371,0.01161724379364,-0.0453414866508135,0.0519855361834604,-0.0643331776716978,0.00340617771184852,-0.132482379302246,0.0173954171218224,-0.00396679120999339,0.0749277749456881,0.0161831458926549,-0.0490922015645258,-0.232726696072366,0.068179518760236,0.16949663032303,-0.0258111070164775,0.802626899681527,0.0207172528363858
"part_alcaldia1",0.202737041310372,-0.199006105238665,0.0436115655467507,-0.171937567823361,-0.458580569435609,0.188989196572853,0.0929353045705887,-0.161153783008157,0.142861682188521,-0.12068832587966,-0.00740213816092606,-0.00104236446322676,-0.013965222223315,-0.0147858227893357,-0.123469540632077,-0.0444996608868421,-0.0196244724543983,0.0597571821075622,-0.0769337410114238,0.0367747257035041,0.373244084083267,0.0430373045457338,0.0299016725166849,0.315284360312996,0.148282553385188,0.528091817301483,-0.0229455550005261,0.021334111356468,0.000479854332019014,-0.000348200496518967
"part_asamblea1",-0.129885288994762,0.142242964614267,0.328636422442569,0.0650744033966432,0.0801241108131824,-0.169079284170165,-0.158357899699957,-0.459952536318802,-0.128315892567116,-0.0100519449811982,-0.00581475517655972,-0.00383154468682049,-0.0478773596007017,-0.0741647289531032,0.0820450598465641,-0.0319372772838522,0.0482230588280327,-0.138848217423305,-0.0619249815473666,-0.136308774214644,0.218408718890176,0.658979133461641,0.0268870971466667,-0.0905422468816762,0.10681697583834,-0.00623095378539174,0.022053591558755,0.0053662275281364,0.000149396907767257,0.000881351110795454
"part_camara1",-0.177681987299742,0.338972598478457,-0.169943714691607,-0.303503416214513,0.0803665467495683,-0.118149541436881,0.0912725045975438,-0.0785676402870751,0.063577171903043,0.0762048797102572,0.0092929894785703,0.000169168239836976,-0.00093132504170081,-0.0134084015896995,0.0229967396133564,0.0243486317579393,-0.0419217434984976,-0.0782945698077358,-0.238805447128631,-0.285499895170693,-0.270491669915695,-0.141026703511617,-0.00235396332033509,-0.309157719406412,0.276717109102675,0.497046472410009,-0.047146397981979,-0.159543238759221,0.0018636651705685,-3.36014240435849e-05
"part_concejo1",-0.0975386740842337,0.0685035814652043,0.168309981812699,0.334221939147893,0.387008375899534,-0.114906276770973,-0.0537722932797145,0.474339007324103,-0.0750851283472663,0.0527727060557963,-0.00783072303676116,-0.000314683729122927,0.0419920301807766,0.0527153920804763,0.0693016652661091,0.112919639603138,0.0849132342865952,0.171347216402137,0.195686324895673,-0.153541828915767,0.179268239292033,0.0668543288717758,0.0108778073747435,0.266265821046671,0.0768067621332887,0.459563269067668,0.019865514340286,0.0275512911267424,0.000304452733028135,0.000896534901754316
"part_gobernacion1",-0.0210955690082013,0.194419485117039,0.252853214662921,-0.0941730237438431,-0.0240921736521463,-0.237903773052187,-0.101957855474511,0.0085574921142817,0.0362810435265989,-0.0760504023393362,-0.0131076970087466,0.00333862976159609,-0.0556319948839053,-0.0594369999303128,0.0111757706625128,0.325590726058428,-0.568545137813926,-0.219193607283392,0.134381603990809,0.518757768729665,-0.100695545923667,-0.0614042047935021,0.0300803521792459,0.0904767349103973,-0.0427510043617173,0.132793457847657,-0.0180526388038833,0.0035027090000268,-0.000306723917545022,-0.00149438936192005
"part_presidencia1",-0.0668699494337513,0.164428604212769,0.297415450469988,-0.146755327055028,0.0212769116820926,0.00493206857814704,0.0588850391179107,-0.12513363168466,0.147820952751192,-0.13684017282759,0.00464004201878538,-0.00099725123540706,0.0685927911313446,0.0348258503916684,-0.0696765840441557,-0.145107689998024,0.0774459007430829,0.719525120734105,0.10609252187804,0.16145779053412,-0.247330006434313,0.0300748708884402,0.376388407958423,-0.0290421693563391,0.00935217644397195,-0.0222298157882526,0.00836610155235024,0.0136362438735424,-0.00138741221917545,0.00129632874123936
"part_presidencia_1v1",-0.0434145114027297,0.223391002693014,0.353211336190451,-0.270103810854053,0.0394072263334247,0.39871602548782,0.0251728945900347,0.136523500814135,-0.0363200336196809,-0.0134612918988605,0.0112610664146313,0.00282544274155501,0.0203784051310829,0.0372850084627436,-0.0426698873218042,-0.12126823126838,0.0493215620114105,0.0605402376660796,0.066589941510245,0.075472827140453,-0.0507101859164758,0.0659705504815022,-0.725842406120866,-0.00836458252926432,0.00387956847426949,-0.0239253571495134,0.0021869504177094,-0.00708819675197783,0.00204610639374534,-0.00383301799596031
"part_presidencia_2v1",-0.00594651223291486,0.150785434562114,0.232873499987724,-0.193393774404595,0.0499480933973192,0.537212735904555,-0.0119876517991868,0.20066393297536,-0.262481393412354,-0.0222007171991291,0.0155890764146665,0.00146548085136469,-0.0528607589561693,-0.0238736037953177,0.0517394199528671,-0.0474997053516892,0.108369852185391,-0.391873261004301,0.0207162284219615,-0.0164715828879602,-0.00904212728029633,-0.0385277570172011,0.555266497848437,0.00745946854052181,-0.00349125682149321,-0.00976726308794597,-0.00187399817887185,0.00981100909278692,-0.00115656982275693,0.00163657414976814
"part_senado1",-0.100609936164814,0.263591628149456,0.307864436869537,-0.162353631068363,-0.0969005329316579,-0.225226939700567,0.1969800523323,-0.0529873002286707,0.084868488010664,-0.0157740062234547,-0.031714835370375,-0.0103427526777598,-0.0638846624472948,-0.086851592828288,-0.00384762288754775,0.220419060847499,0.00330970474021915,0.020465863708666,-0.0672757834369265,-0.448209740059938,0.338263177408469,-0.389081404115829,0.0131597875411942,0.211821832193154,-0.181152554656844,-0.275414697917798,-0.00978315133993119,0.0572556187719001,0.00219109601763596,0.000294213910004523
