nombre,tipo_eleccion,votos_totales,n_registros
ASOCIACION DE COCHEROS,Concejo Municipal,62,4
ASOCIACION DE COMUNIDADES AFROCOLOMBIANAS DEL MUNICIPIO DE YUMBO - AFROYUMBO,C??mara de Representantes,5295,608
ASOCIACION DE COMUNIDADES NEGRAS DE GUACOCHE - VALLEDUPAR CARDONAL,C??mara de Representantes,2488,361
ASOCIACION DE COMUNIDADES NEGRAS DEL MUNICIPIO DE GUAPI - ASOCONEGUA,C??mara de Representantes,7236,1002
ASOCIACION DE DESPLAZADOS DE LA COSTA PACIFICA RESIDENTES EN CALI Y OTROS - ASODCPRC,C??mara de Representantes,1070,379
ASOCIACION DE ESTUDIANTES AFROCOLOMBIANOS DE LA FUNDACION UNIVERSIDAD AUTONOMA DE COLOMBIA - AEAFUAC,C??mara de Representantes,30926,5742
ASOCIACION DE MUJERES AFROCOLOMBIANAS HIJAS DE YEMAYA,C??mara de Representantes,2496,515
ASOCIACION DE PROFESIONALES AFROCOLOMBIANOS - ASOPRA,C??mara de Representantes,24001,2635
ASOCIACION DOS PARA TODOS,C??mara de Representantes,6337,2240
ASOCIACION KUAGRO SOCIAL LOS MARLINS AKUASOMAR,C??mara de Representantes,2930,367
ASOCIACION MISION COLOMBIA,C??mara de Representantes,5323,482
ASOCIACION NACIONAL DE AFROCOLOMBIANOS DESPLAZADOS - AFRODES,C??mara de Representantes,13504,4944
ASOCIACION NACIONAL DE CABILDOS Y AUTORIDADES INDIGENAS EN COLOMBIA - ANICOL,C??mara de Representantes,12366,3006
ASOCIACION NACIONAL DE CABILDOS Y AUTORIDADES INDIGENAS EN COLOMBIA - ANICOL,Senado,3757,981
ASOCIACION NACIONAL DE ESTUDIANTES AFROCOLOMBIANOS - ASNEA,C??mara de Representantes,10706,1285
ASOCIACION NACIONAL INDIGENA DE COLOMBIA - ANIC,Senado,6386,2009
ASOCIACION NACIONAL PARA EL DESARROLLO Y LA DEFENSA DE LOS PUEBLOS DEL LITORAL PACIFICO - ASOPACIFICO,C??mara de Representantes,925,939
ASOCIACION NACIONAL PARA LA DIVULGACION DE LA CULTURA MUSICAL AFROCOLOMBIANA - ANALDIC,C??mara de Representantes,2315,1147
ASOCIACION NUEVA VIDA,C??mara de Representantes,1258,337
ASOCIACION PARA EL FOMENTO DE LAS NEGRITUDES - AFIN,C??mara de Representantes,2640,2538
ASOCIACION PARA PROMOCION Y DEFENSA DE LOS DERECHOS ETNICOS DE COMUNIDADES,C??mara de Representantes,1820,591
ASOCIACION PLAN DE VIVIENDA BARRIO,Concejo Municipal,236,6
ASOCIACION POPULAR DE NEGROS UNIDOS DEL RIO YURUMANGUI - APONURY,C??mara de Representantes,3292,112
ASOCIACION POR LOS DERECHOS DE LAS COMUNIDADES NEGRAS DE BOLIVAR MARTIN LUTHER KING,C??mara de Representantes,3450,431
ASOCIACION POR LOS DERECHOS DE LAS COMUNIDADES NEGRAS DE PASACABALLOS KUSUTO,C??mara de Representantes,13405,834
ASOCIACION POR LOS DERECHOS DE LAS COMUNIDADES NEGRAS DE SAN ANTERO - ADECONES,C??mara de Representantes,4272,516
