"codigo_partido","nombre","cluster","tradicional","gradonac","ideologia"
19809999,"OTROS PARTIDOS O MOVIMIENTOS DE 1980","2",0,99,4
19820001,"PARTIDO UNIDAD DEMOCRATICA","3",0,0,1
19820002,"MOVIMIENTO DE IZQUIERDA DEMOCRATICO","3",0,0,1
19820003,"LIBERAL FRENTE DEMOCRATICO","2",0,0,4
19820021,"MOVIMIENTO IZQUIERDISTA DEMOCR<U+00E1>TICO","2",0,99,4
19820025,"MOVIMIENTO C<U+00ED>VICO POPULAR","2",0,99,4
19820027,"MOVIMIENTO CIVICO DE ACCION SOCIAL DE CUNDINAMARCA","2",0,99,4
19820028,"MOVIMIENTO UNION PATRIOTICA NACIONAL (UNPAN)","2",0,99,4
19820029,"ACCION CIVICA UNIDA POR BOGOTA Y CUNDINAMARCA - ACUBOC CON LOPEZ","2",0,99,4
19820030,"MOVIMIENTO SOCIAL DE PROGRESO NACIONAL","2",0,99,4
19820031,"PARTIDO LABORAL ANDINO","2",0,99,4
19820032,"MOVIMIENTO SOLIDARIDAD MORAL Y SOCIAL (SOMOS)","2",0,99,4
19820033,"MOVIMIENTO CIVICO CIUDADANO (M.C.C)","2",0,99,4
19820034,"MOVIMIENTO REGIONAL","2",0,99,4
19820035,"MOVIMIENTO UNION NACIONAL DE RESERVAS Y PENSIONADOS DE COLOMBIA (UNARPEC)","2",0,99,4
19820036,"MOVIMIENTO CRISTIANOS EN ACCION","2",0,99,4
19820037,"MOVIMIENTO PARA LA DEFENSA DE LA PROPIEDAD RAIZ","2",0,99,4
19820038,"MOVIMIENTO CRISTIANO POPULAR","2",0,99,4
19829999,"OTROS PARTIDOS O MOVIMIENTOS DE 1982","4",0,99,4
19840024,"POR UNO MISMO","2",0,99,4
19840025,"EN DEFENSA DEL MOVIMIENTO NACIONAL","2",0,99,4
19840026,"MOVIMIENTO CIVICO COMUNAL DE BOGOTA","2",0,99,4
19840027,"FRENTE UNIDO DEL SUR CIVICO Y SOCIAL","2",0,99,4
19840028,"MOVIMIENTO SOCIAL EDUCATIVO DE LAS COLONIAS Y BOGOTA","2",0,99,4
19840032,"MOVIMIENTO DE INTEGRACION BOYACENSE","2",0,99,4
19840033,"MOVIMIENTO ACCION SOCIAL PATRIOTICA ""ASP""","2",0,99,4
19840035,"MOVIMIENTO POPULAR BELISARISTA","2",0,99,4
19840036,"JORNADAS C<U+00ED>VICAS BOGOT<U+00E1>","2",0,99,4
19840038,"MOVIMIENTO VALOR NACIENTE RADICAL","2",0,99,4
19840039,"TECNOCRACIA CRISTIANA","2",0,99,4
19840040,"MOVIMIENTO ALTERNATIVA POR LA PAZ","2",0,99,4
19840041,"MOVIMIENTO NUEVA DEMOCRACIA","2",0,99,4
19840042,"FRENTE OBRERO C<U+00ED>VICO Y POPULAR (FOCIP)","2",0,99,4
19840043,"FRENTE DEMOCR<U+00E1>TICO DE BOL<U+00ED>VAR","2",0,99,4
19840044,"MOVIMIENTO CARIBE<U+00F1>O","2",0,99,4
19840045,"MOVIMIENTO C<U+00ED>VICO PLURALISTA DE BOL<U+00ED>VAR","2",0,99,4
19840046,"UNIDAD MAGISTERIAL Y SINDICAL (UMS)","2",0,99,4
19840047,"CORPORACI<U+00F3>N C<U+00ED>VICA DE DESARROLLO INTEGRAL","2",0,99,4
19840048,"MOVIMIENTO DE UNIDAD SOCIAL CRISTIANA","2",0,99,4
19840049,"MOVIMIENTO INDEPENDIENTE POPULAR  PROTECHO","2",0,99,4
19840050,"MOVIMIENTO C<U+00ED>VICO LATINO NACIONAL","2",0,99,4
19840051,"MOVIMIENTO C<U+00ED>VICO DEL CAUCA","2",0,99,4
19840052,"MOVIMIENTO NACIONAL DE C<U+00F3>RDOBA","2",0,99,4
19840053,"MOVIMIENTO NACIONAL DE JUVENTUDES","2",0,99,4
19840054,"MOVIMIENTO DE INDEGRACI<U+00F3>N DE JUVENTUDES DE CUNDINAMARCA","2",0,99,4
19840055,"MOVIMIENTO C<U+00ED>VICO DE CUNDINAMARCA","2",0,99,4
19840056,"FUERZA NUEVA POR EL CAMBIO","2",0,99,4
19840057,"MOVIMIENTO C<U+00ED>VICO DE UNI<U+00F3>N CHOCOANISTA INDEPENDIENTE","2",0,99,4
19840058,"MOVIMIENTO C<U+00ED>VICO PARA LA INTEGRACI<U+00F3>N Y EL AVANCE LLANERO","2",0,99,4
19840059,"MOVIMIENTO POPULAR ""LOS INCONFORMES""","2",0,99,4
19840060,"MOVIMIENTO POPULAR DEMOCR<U+00E1>TICO DEL QUIND<U+00ED>O","2",0,99,4
19840061,"MOVIMIENTO C<U+00ED>VICO NACIONAL DE AYUDA MUTUA","2",0,99,4
19840062,"NACIONALISTAS DEM<U+00F3>CRATAS POR COLOMBIA","2",0,99,4
19840063,"FRENTE AMPLIO DEL MAGDALENA MEDIO (FAM)","2",0,99,4
19840064,"MOVIMIENTO DE RECONCILIACI<U+00F3>N NACIONAL","2",0,99,4
19840065,"FUERZA DEL PUEBLO","2",0,99,4
19840066,"PARTIDO ECOL<U+00F3>GICO VERDE","2",0,99,4
19840067,"MOVIMIENTO NACIONAL BELISARISTA DEL VALLE","2",0,99,4
19849999,"OTROS PARTIDOS O MOVIMIENTOS DE 1984","2",0,99,4
19850001,"UNION PATRIOTICA - UP","4",0,0,1
19860001,"PARTIDO HUMANISTA","4",0,0,4
19860002,"PARTIDO BLANCO COLOMBIANO","2",0,99,4
19860003,"MOVIMIENTO PUEBLO UNIDO POR LA PAZ","2",0,99,4
19860004,"FRENTE UNIDO CRISTIANO - FUC","2",0,99,4
19860005,"MOVIMIENTO NACIONAL POPULAR","2",0,99,4
19860006,"MOVIMIENTO DEMOCR<U+00E1>TICO POR LA DIGNIDAD NACIONAL","2",0,99,4
19860007,"MOVIMIENTO ALIANZA POPULAR","2",0,99,4
19860008,"FRENTE AMPLIO POR EL CHOC<U+00F3>","2",0,99,4
19860009,"FRENTE UNIDO","2",0,99,4
19860010,"ALIANZA DEMOCRATICA","2",0,99,4
19860011,"MOVIMIENTO IDEAS PARA EL PROGRESO","2",0,99,4
19860012,"FRENTE POPULAR DEMOCR<U+00E1>TICO","2",0,99,4
19860013,"MOVIMIENTO DIGNIDAD NUEVO LIBERALISMO","2",0,99,4
19860015,"MOVIMIENTO DE ACCI<U+00F3>N SOCIAL","2",0,99,4
19860016,"LIBERAL POPULAR SOCIAL DEM<U+00F3>CRATA","2",0,99,4
19860017,"MOVIMIENTO DE ACCI<U+00F3>N C<U+00ED>VICO COMUNITARIA POR URAB<U+00E1>","2",0,99,4
19860018,"MOVIMIENTO ALTERNATIVA NORTECAUCANA","2",0,99,4
19860019,"MOVIMIENTO ALTERNATIVA DE UNIDAD POPULAR","2",0,99,4
19860020,"MOVIMIENTO NACIONALISTA POPULAR","2",0,99,4
19860021,"MOVIMIENTO NACIONALISTA DE PARTICIPACI<U+00F3>N POPULAR","2",0,99,4
19860022,"MOVIMIENTO CONVERGENCIA C<U+00ED>VICA","2",0,99,4
19869999,"OTROS PARTIDOS O MOVIMIENTOS DE 1986","2",0,99,4
19880001,"MOVIMIENTO UNION CRISTIANA - UC","4",0,0,2
19889999,"OTROS PARTIDOS O MOVIMIENTOS DE 1988","2",0,99,4
19890001,"PARTIDO NACIONAL CRISTIANO - PNC","4",0,0,4
19900001,"MOVIMIENTO DE SALVACION NACIONAL - MSN","4",0,0,3
19900002,"MOVIMIENTO NUEVA FUERZA DEMOCRATICA","2",0,0,4
19900003,"MOVIMIENTO POPULAR UNIDO - MPU","2",0,0,4
19900004,"PARTIDO SOCIALDEMOCRATA COLOMBIANO - PSOC","3",0,0,1
19900005,"MOVIMIENTO POPULAR COLOMBIANO","2",0,0,4
19900006,"MOVIMIENTO VOLUNTAD POPULAR","2",0,0,4
19900007,"PARTIDO ALIANZA DEMOCRATICA M-19 AD-M19","4",0,0,1
19900008,"FRENTE UNIDO NACIONAL POPULAR","2",0,0,4
19900009,"PARTIDO PATRIA NUEVA","2",0,0,4
19900010,"MOVIMIENTO AMOR POR COLOMBIA","4",0,0,4
19900011,"PARTIDO NATURAL","4",0,0,4
19900012,"MOVIMIENTO ENCUENTRO 88","4",0,0,4
19900016,"COMUN COLOMBIA","4",0,99,4
19900020,"MOVIMIENTO FILOSOFICO NUEVA COLOMBIA","2",0,99,4
19900021,"TODAV<U+00CD>A SE PUEDE GOBERNAR SIN ROBAR","4",0,99,4
19900022,"MOVIMENTO C<U+00CD>VICO DE RECONCILIACI<U+00D3>N","2",0,99,4
19900023,"MOVIMIENTO INTERNO POR DEMOCRACIA PARTICIPATIVA","2",0,99,4
19900024,"COLOMBIA NUEVA","2",0,99,4
19900025,"MOVIMIENTO DE RENOVACI<U+00D3>N EDUCATIVA","2",0,99,4
19900026,"MOVIMIENTO DE INTEGRACI<U+00D3>N NACIONAL CONSTITUYENTE","2",0,99,4
19900027,"LISTA NACIONAL UNIFICADA MOVIMIENTO ESTATAL FUERZA SOCIAL","2",0,99,4
19900028,"MOVIMIENTO UNIVERSITARIO POR UNA NUEVA COLOMBIA","2",0,99,4
19900029,"BLOQUE PA<U+00CD>S NACIONAL","2",0,99,4
19900030,"MOVIMIENTO POR LOS DERECHOS CIVILES","2",0,99,4
19900031,"FRENTE COMUNITARIO","2",0,99,4
19900032,"CONFEDERACI<U+00D3>N NACIONAL DEL TRABAJO","2",0,99,4
19900033,"SALVACI<U+00D3>N NACIONAL","2",0,99,4
19900034,"MOVIMIENTO AUTONOMO NACIONAL","2",0,99,4
19900035,"MOVIMIENTO SINDICAL INDEPENDIENTE","2",0,99,4
19900036,"RESERVAS DE LA POLICIA NACIONAL","2",0,99,4
19900037,"POR UNA CONSTITUYENTE LIBRE","2",0,99,4
19900038,"DEMOCRATAS INDEPENDIENTES","2",0,99,4
19900039,"MOVIMIENTO INTERNO NACIONAL Y DE LAS FUERZAS ARMADAS","2",0,99,4
19900041,"MOVIMIENTO CIVIL PRECONSTITUYENTE DEMOCRATICO","2",0,99,4
19900042,"MOVIMIENTO DE PENSIONADOS CONF","2",0,99,4
19900043,"SECTOR COOPERATIVO NACIONAL","2",0,99,4
19900044,"UNI<U+00D3>N DE SALUD NACIONAL","2",0,99,4
19900045,"VENCEDORES DE AMOR POR COLOMBIA","2",0,99,4
19900046,"MOVIMIENTO ESTUDIANTIL UNIVERSITARIO DEL META Y LLANOS","2",0,99,4
19900047,"MOVIMIENTO ESTUDIANTIL COLOMBIANO","2",0,99,4
19900049,"ANAL' ASOCIACI<U+00D3>N NACIONAL DE ABO. LIT","2",0,99,4
19900050,"FIDES' FRENTE INT. DES. SOCIAL","2",0,99,4
19900051,"COMP CIV.CTANO CON LA COM","2",0,99,4
19900052,"UNIDAD MEDICA","2",0,99,4
19900053,"MOVIMIENTO ESTUDIANTIL FUERZA NUEVA","2",0,99,4
19900054,"LA LISTA NACIONAL","2",0,99,4
19900055,"FUERZA DE INTEGRACI<U+00D3>N NACIONAL","2",0,99,4
19900056,"UNION CRISTIANA CONFEDERADA EVANGELICA DE COLOMBIA","2",0,99,4
19900057,"TODAVIA PODEMOS SALVAR A COLOMBIA","2",0,99,4
19900058,"MOVIMIENTO DE RENOVACION CONSTITUCIONAL","2",0,99,4
19900059,"CONS. NAL. DE ORG.NO GUBERNAMENTAL","2",0,99,4
19900061,"MOVIMIENTO ESTUDIANTIL NORTE DE SANTANDER POR CONSTITUYENTE","2",0,99,4
19900062,"MOVIMIENTO POR UN HOMBRE NUEVO","2",0,99,4
19900063,"MOV. CONS. EST. POR EL FORT PROV","2",0,99,4
19900064,"ALIANZA CIVICA POPULAR GAITANISTA","2",0,99,4
19900065,"FUERZA UNIVERSITARIA CONSTITUYENTE FUC","2",0,99,4
19900066,"COORDINACION NACIONAL MONIDADES NEGRAS COLOMBIANAS","2",0,99,4
19900067,"SECTOR SALUD","2",0,99,4
19900068,"REPUNTE DEMOCRATICO","2",0,99,4
19900069,"UNION DE CIUDADANAS POR COLOMBIA","2",0,99,4
19900070,"MOVIMIENTO POLITICO ""VIDA Y DIGNIDAD""","2",0,99,4
19900071,"SOCIAL DE  LOS TRABAJADORES","2",0,99,4
19900072,"API. MOV DE PART. COM. UNA PROP","2",0,99,4
19900073,"MOV CEN NAL DE ORG CENPAVI","2",0,99,4
19900074,"MOVIMIENTO ESTUDIANTIL INDEPENDIENTE","2",0,99,4
19900075,"LISTA UNICA POR DERECHO A LA VIDA","2",0,99,4
19900076,"MOVIMIENTO NACIONAL DE PENSIONADOS  Y TERCERA EDAD","2",0,99,4
19900077,"MOCIPROBI","2",0,99,4
19900078,"PROPUESTA AMBIENTAL","2",0,99,4
19900079,"ASOCIACI<U+00F3>N NACIONAL DE ABOGADOS LITIGANTES","2",0,99,4
19900080,"MOVIMIENTO INT LATINOAMERICANA ESTUD","2",0,99,4
19900081,"MOVIMIENTO NACIONAL POR LA JUSTICIA SOCIAL","2",0,99,4
19900082,"CONFEDERACI<U+00F3>N COMUNAL NACIONAL","2",0,99,4
19900083,"MOVIMIENTO ESTUDIA UNIDO POR COLOMBIA","2",0,99,4
19900084,"ASOCIACION DE DAM DEL VALLE","2",0,99,4
19900085,"MOVIMIENTO ESTUDIANTES POR LA CONSTITUYENTE","2",0,99,4
19900087,"MOVIMIENTO DE RENOVACION NACIONAL","2",0,99,4
19909999,"OTROS PARTIDOS O MOVIMIENTO DE 1990","2",0,99,4
19910001,"AUTORIDADES INDIGENAS DE COLOMBIA - AICO","3",0,0,1
19910002,"MOVIMIENTO ALIANZA SOCIAL INDIGENA - ASI","4",0,0,1
19910003,"MOVIMIENTO POLITICO LAICOS POR COLOMBIA","3",0,0,2
19910004,"MOVIMIENTO AGRO-INDUSTRIAL NACIONAL","2",0,0,4
